"idState","popYear","population"
55,2014,31307855.00
56,2014,2150332.00
1,2015,17517957.00
2,2015,2713272.00
4,2015,25904275.00
5,2015,10893720.00
6,2015,149166705.00
8,2015,20382840.00
9,2015,17192530.00
10,2015,3090196.00
11,2015,2701600.00
12,2015,70834250.00
13,2015,35685085.00
15,2015,4186739.00
16,2015,6107597.00
17,2015,74697297.00
18,2015,38625135.00
19,2015,11849372.00
20,2015,16262103.00
21,2015,17234757.00
22,2015,16028794.00
23,2015,5872515.00
24,2015,18365378.00
25,2015,34339102.00
26,2015,50629285.00
27,2015,28510253.00
28,2015,10491446.00
29,2015,22763639.00
30,2015,3723511.00
31,2015,7653356.00
32,2015,10119789.00
33,2015,6142803.00
34,2015,43924756.00
35,2015,7641585.00
36,2015,91540380.00
37,2015,35715730.00
38,2015,4098559.00
39,2015,63757334.00
40,2015,14730048.00
41,2015,14863608.00
42,2015,59226794.00
44,2015,5142304.00
45,2015,16439773.00
46,2015,4522757.00
47,2015,25084692.00
48,2015,102689651.00
49,2015,11731027.00
50,2015,2869342.00
51,2015,26613685.00
53,2015,26168125.00
54,2015,6157844.00
55,2015,31360101.00
56,2015,2161747.00
1,2016,17560465.00
2,2016,2726033.00
4,2016,26332758.00
5,2016,10941397.00
6,2016,150133283.00
8,2016,20716381.00
9,2016,17152856.00
10,2016,3115054.00
11,2016,2743260.00
12,2016,72237648.00
13,2016,36105285.00
15,2016,4199133.00
16,2016,6224777.00
17,2016,74478737.00
18,2016,38786296.00
19,2016,11891824.00
20,2016,16274779.00
21,2016,17287053.00
22,2016,16069993.00
23,2016,5885746.00
24,2016,18409385.00
25,2016,34487355.00
26,2016,50707252.00
27,2016,28721276.00
28,2016,10487093.00
29,2016,22823370.00
30,2016,3759138.00
31,2016,7704350.00
32,2016,10298781.00
33,2016,6169855.00
34,2016,43942858.00
35,2016,7650975.00
36,2016,91420800.00
37,2016,36172878.00
38,2016,4105109.00
39,2016,63855418.00
40,2016,14795870.00
41,2016,15140642.00
42,2016,59193002.00
44,2016,5145877.00
45,2016,16665911.00
46,2016,4571951.00
47,2016,25297434.00
48,2016,104331403.00
49,2016,11969218.00
50,2016,2861976.00
51,2016,26755773.00
53,2016,26647897.00
54,2016,6119510.00
55,2016,31422330.00
56,2016,2155970.00
1,2017,17601552.00
2,2017,2718339.00
4,2017,26728116.00
5,2017,10986495.00
6,2017,150871019.00
8,2017,20991962.00
9,2017,17129666.00
10,2017,3141247.00
11,2017,2779624.00
12,2017,73451494.00
13,2017,36476817.00
15,2017,4184889.00
16,2017,6357135.00
17,2017,74240699.00
18,2017,38932220.00
19,2017,11933863.00
20,2017,16265238.00
21,2017,17344360.00
22,2017,16037890.00
